"File ID","Document Title","Document Description","Agency Involvement (pipe-separated)","Retrieval Date","Retrieval Source","Retrieved By","Year","Location","Document Type","Additional Labels (pipe-separated)"
"2-CCR02div03.txt","DIVISION 3. STATE PROPERTY OPERATIONS",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR03div04.txt","DIVISION 4. PLANT INDUSTRY",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR03div06.txt","DIVISION 6. PESTICIDES AND PEST CONTROL  OPERATIONS",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR04div11.txt","DIVISION 11. CALIFORNIA POLLUTION CONTROL FINANCING AUTHORITY  ARTICLE 5. CALIFORNIA LOANS FOR ENVIRONMENTAL ASSISTANCE NOW",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR05div05.txt","DIVISION 5. BOARD OF TRUSTEES OF THE CALIFORNIA STATE UNIVERSITIES",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR05div06.txt","DIVISION 6. CALIFORNIA COMMUNITY COLLEGES",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR07div02.txt","DIVISION 2. STATE BOARD OF PILOT COMMISSIONERS FOR THE BAYS OF SAN FRANCISCO SAN PABLO AND SUISUN  ARTICLE 1. DEFINITIONS",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR08div01.txt","DIVISION 1. DEPARTMENT OF INDUSTRIAL RELATIONS  CHAPTERS 1 through 6",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"1-42_USC_7401etseq.txt","Clean Air Act",,,12/01/07,"http://www.gpoaccess.gov/uscode/index.html","Julie Ekstrom",2006,"US","Statute",
"2-CCR13div01.txt","DIVISION 1. DEPARTMENT OF MOTOR VEHICLES",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR13div03.txt","DIVISION 3. AIR RESOURCES BOARD",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div01.txt","DIVISION 1. FISH AND GAME COMMISSION -DEPARTMENT OF FISH AND GAME  SUBDIVISION 1. FISH AMPHIBIANS AND REPTILES  Foreword 1-19-74",,,10/10/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div01-5.txt","DIVISION 1.5. DEPARTMENT OF FORESTRY AND FIRE PROTECTION",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div02.txt","DIVISION 2. DEPARTMENT OF CONSERVATION",,,08/24/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div03.txt","DIVISION 3. DEPARTMENT OF PARKS AND RECREATION",,,08/24/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div04.txt","DIVISION 4. DEPARTMENT OF BOATING AND WATERWAYS",,,08/24/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div05.txt","DIVISION 5. SAN FRANCISCO BAY CONSERVATION AND DEVELOPMENT COMMISSION",,,08/24/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div05-5.txt","DIVISION 5.5 [FNA1] CALIFORNIA COASTAL COMMISSION",,,08/24/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div05-6.txt","DIVISION 5.6. STATE COASTAL CONSERVANCY",,,08/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div06.txt","DIVISION 6. RESOURCES AGENCY  ARTICLE 2. GENERAL PROVISIONS",,,10/10/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div07.txt","DIVISION 7. CALIFORNIA INTEGRATED WASTE MANAGEMENT BOARD",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div08.txt","DIVISION 8. ENVIRONMENTAL AFFAIRS AGENCY",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR14div09.txt","DIVISION 9. DELTA PROTECTION COMMISSION",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR16div08.txt","DIVISION 8. CONTRACTORS' STATE LICENSE BOARD  ARTICLE 6. BONDS",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR17div01.txt","DIVISION 1. STATE DEPARTMENT OF HEALTH SERVICES",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR17div03.txt","DIVISION 3. AIR RESOURCES",,,10/11/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR18div01.txt","DIVISION 1. STATE BOARD OF EQUALIZATION-PROPERTY TAX",,,10/16/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR18div02.txt","DIVISION 2. STATE BOARD OF EQUALIZATION -BUSINESS TAXES",,,10/16/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR19div01.txt","DIVISION 1. STATE FIRE MARSHAL",,,10/16/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR19div02.txt","DIVISION 2. OFFICE OF EMERGENCY SERVICES",,,10/16/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR21div02-5.txt","DIVISION 2.5.",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR22div04.txt","DIVISION 4. ENVIRONMENTAL HEALTH",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR22div04-5.txt","DIVISION 4.5. ENVIRONMENTAL HEALTH STANDARDS FOR THE MANAGEMENT OF HAZARDOUS WASTE",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR23div01.txt","DIVISION 1. RECLAMATION BOARD",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR23div01-5.txt","DIVISION 1.5 FLOOD PLAIN MANAGEMENT (DEPARTMENT OF WATER RESOURCES AND RECLAIMATION BOARD  ARTICLE 1. GENERAL PROVISIONS",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR23div02.txt","DIVISION 2. DEPARTMENT OF WATER RESOURCES",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR23div03.txt","DIVISION 3. STATE WATER RESOURCES CONTROL BOARD AND REGIONAL WATER QUALITY CONTROL BOARDS",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR23div04.txt","DIVISION 4. REGIONAL WATER QUALITY CONTROL BOARDS",,,10/13/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR25div01.txt","DIVISION 1. HOUSING AND COMMUNITY DEVELOPMENT",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR26div06.txt","DIVISION 6. CALIFORNIA HIGHWAY PATROL (TITLE 13)",,,10/16/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR26div09.txt","DIVISION 9. DEPARTMENT OF CONSERVATION -DIVISION OF OIL AND GAS (TITLE 14)",,,10/12/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CCR27div01.txt","DIVISION 1. GENERAL FUNCTIONS AND RESPONSIBILITIES  SUBDIVISION 4. STATE DELEGATION  PART II. OPERATIONS  ARTICLE 10. BUSINESS REPORTING TO CUPAS  Appendix C",,,10/10/06,"http://ccr.oal.ca.gov","Julie Ekstrom",2006,"CA","Regulation",
"2-CABPC_17550etseq.txt","BPC § 17550.1 et. seq.",,,03/08/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CABPC_22500-22511.txt","BPC § 22503.6",,,03/21/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CABPC_4066etseq.txt","BPC §§  4066 et seq.",,,03/08/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CACC_1009.txt","GC § 1009",,,03/21/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CACC_670.txt","GC § 670",,,03/21/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CAEC_2600-2603.txt","EC § 2601",,,02/21/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CAEC_8761etseq.txt","EC § 8761",,,03/08/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CAFAC_00001-00051.txt","FAC § 23.5",,,03/18/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CAFAC_16151-16154.txt","FAC § 16151",,,03/08/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CAFAC_58381-58383.txt","FAC § 58381",,,03/08/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CAFAC_78401-78415.txt","CALIFORNIA SEAFOOD MARKETING RESEARCH AND DEVELOPMENT ACT FAC Ch. 23 (commencing with FAC § 78401) Div. 22 Part 5",,,03/08/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
"2-CAFAC_78425-78430.txt","CALIFORNIA SEAFOOD MARKETING RESEARCH AND DEVELOPMENT ACT FAC Ch. 23 (commencing with FAC § 78401) Div. 22 Part 4",,,03/08/06,"http://www.leginfo.ca.gov","Julie Ekstrom",2006,"CA","Statute",
