"File ID","Document Title","Document Description","Agencies (pipe-separated)","Retrieval Date","Retrieval Source","Retrieved By","Collection Name","Year","Location","Type","Labels",
"sor-2006-347.pdf-1288334234.txt","2-Butoxyethanol Regulations [SOR/2006-347]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2006-347.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-93-332.pdf-1288334242.txt","Aboriginal Communal Fishing Licences Regulations [SOR/93-332]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-93-332.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-90-341.pdf-1288334546.txt","Asbestos Mines and Mills Release Regulations [SOR/90-341]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-90-341.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-86-21.pdf-1288334597.txt","Atlantic Fishery Regulations, 1985 [SOR/86-21]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-86-21.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2005-293.pdf-1288334690.txt","Basin Head Marine Protected Area Regulations [SOR/2005-293]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2005-293.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-97-493.pdf-1288334700.txt","Benzene in Gasoline Regulations [SOR/97-493]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-97-493.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"c-6.7.pdf-1288331776.txt","Canada Marine Act [1998, c. 10]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Statute/C/C-6.7.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"c-7.3.pdf-1288331783.txt","Canada National Marine Conservation Areas Act [2002, c. 18]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Statute/C/C-7.3.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"n-14.01.pdf-1288331794.txt","Canada National Parks Act [2000, c. 32]","","Parks","04/05/10","http://laws.justice.gc.ca/PDF/Statute/N/N-14.01.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"sor-99-318.pdf-1288334994.txt","Canada Port Authority Environmental Assessment Regulations [SOR/99-318]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-99-318.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"s-9.pdf-1288331847.txt","Canada Shipping Act [Repealed] [S-9]","","TC","04/05/10","http://laws.justice.gc.ca/PDF/Statute/S/S-9.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"c-11.pdf-1288331885.txt","Canada Water Act [C-11]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Statute/C/C-11.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"w-9.pdf-1288331889.txt","Canada Wildlife Act [W-9]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Statute/W/W-9.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"c-15.2.pdf-1288332019.txt","Canadian Environmental Assessment Act [1992, c. 37]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Statute/C/C-15.2.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"c-15.31.pdf-1288332035.txt","Canadian Environmental Protection Act, 1999 [1999, c. 33]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Statute/C/C-15.31.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"c.r.c.,_c._811.pdf-1288335463.txt","Chlor-Alkali Mercury Liquid Effluent Regulations [C.R.C., c. 811]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/C/C.R.C.,_c._811.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-90-130.pdf-1288335465.txt","Chlor-Alkali Mercury Release Regulations [SOR/90-130]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-90-130.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2009-162.pdf-1288335473.txt","Chromium Electroplating, Chromium Anodizing and Reverse Etching Regulations [SOR/2009-162]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2009-162.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"c-33.3.pdf-1288332183.txt","Coastal Fisheries Protection Act [C-33]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Statute/C/C-33.3.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"c.r.c.,_c._413.pdf-1288335540.txt","Coastal Fisheries Protection Regulations [C.R.C., c. 413]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/C/C.R.C.,_c._413.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-94-638.pdf-1288335636.txt","Comprehensive Study List Regulations [SOR/94-638]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-94-638.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-91-486.pdf-1288335677.txt","Contaminated Fuel Regulations [SOR/91-486]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-91-486.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2006-104.pdf-1288335829.txt","Crown Corporations Involved in the Provision of Commercial Loans Environmental Assessment Regulations [SOR/2006-104]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2006-104.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2001-275.pdf-1288336127.txt","Disposal at Sea Regulations [SOR/2001-275]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2001-275.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2003-307.pdf-1288336293.txt","Environmental Emergency Regulations [SOR/2003-307]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2003-307.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2007-108.pdf-1288336347.txt","Exclusion List Regulations, 2007 [SOR/2007-108]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2007-108.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2005-149.pdf-1288336421.txt","Export and Import of Hazardous Waste and Hazardous Recyclable Material Regulations [SOR/2005-149]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2005-149.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2000-108.pdf-1288336430.txt","Export Control List Notification Regulations [SOR/2000-108]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2000-108.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-2003-289.pdf-1288336541.txt","Federal Halocarbon Regulations, 2003 [SOR/2003-289]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-2003-289.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-90-5.pdf-1288336544.txt","Federal Mobile PCB Treatment and Destruction Regulations [SOR/90-5]","","EC","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-90-5.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"c.r.c.,_c._812.pdf-1288336677.txt","Fish Health Protection Regulations [C.R.C., c. 812]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/C/C.R.C.,_c._812.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"sor-88-258.pdf-1288336686.txt","Fish Toxicant Regulations [SOR/88-258]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-88-258.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"f-14.pdf-1288332760.txt","Fisheries Act [F-14]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Statute/F/F-14.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"sor-93-53.pdf-1288336694.txt","Fishery (General) Regulations [SOR/93-53]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-93-53.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
"f-24.pdf-1288332768.txt","Fishing and Recreational Harbours Act [F-24]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Statute/F/F-24.pdf","DFO","Canada DFO","2010","Canada","Statute","Federal",
"sor-78-767.pdf-1288336698.txt","Fishing and Recreational Harbours Regulations [SOR/78-767]","","DFO","04/05/10","http://laws.justice.gc.ca/PDF/Regulation/S/SOR-78-767.pdf","DFO","Canada DFO","2010","Canada","Regulation","Federal",
